Label,Vulnerability Name,Package Name,Package Version,Type,Publish Date
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:shelve-project-plugin,"[,2.0)",Maven,"0,Aug,2018"
H,Cross-site Scripting (XSS),com.zrlog:zrlog,"[0,]",Maven,"3,Jun,2021"
M,Cross-site Scripting (XSS),craftcms/cms,&lt;3.6.0,Composer,"3,Jun,2021"
M,Cross-site Scripting (XSS),@toast-ui/editor,&lt;3.0.2,npm,"3,Jun,2021"
M,Cross-site Scripting (XSS),bootstrap,"&lt;3.4.1,&gt;&#x3D;4.0.0, &lt;4.3.1",RubyGems,"1,Feb,2019"
M,Cross-site Scripting (XSS),bootstrap4,"[0,]",pip,"1,Feb,2019"
M,Cross-site Scripting (XSS),bootstrap,"[,3.4.1),[4.0.0, 4.3.1)",NuGet,"1,Feb,2019"
M,Cross-site Scripting (XSS),bootstrap,"&lt;3.4.1,&gt;&#x3D;4.0.0 &lt;4.3.1",npm,"1,Feb,2019"
M,Cross-site Scripting (XSS),github.com/astaxie/beego/session,&lt;1.12.2,Go,"1,Jul,2020"
M,Cross-site Scripting (XSS),@knight-lab/timelinejs,&lt;3.7.0,npm,"1,Jul,2020"
H,Cross-site Scripting (XSS),tiptap,&lt;1.29.0,npm,"0,Jul,2020"
H,Cross-site Scripting (XSS),org.webjars.npm:tiptap,"[0,]",Maven,"0,Jul,2020"
M,Cross-site Scripting (XSS),teaminmedias-pluswerk/ke_search,"&lt;2.8.3,&gt;&#x3D;3.0.0, &lt;3.1.4",Composer,"0,Jul,2020"
M,Cross-site Scripting (XSS),haffner/jh_captcha,"&lt;2.1.4,&gt;&#x3D;3.0.0, &lt;3.0.3",Composer,"0,Jul,2020"
M,Cross-site Scripting (XSS),socalnick/scn-social-auth,&lt;1.15.2,Composer,"1,Jan,2015"
M,Cross-site Scripting (XSS),django,"[,1.4.18),[1.5,1.6.10),[1.7,1.7.3)",pip,"1,Jan,2015"
M,Cross-site Scripting (XSS),zf-commons/zfc-user,&lt;1.2.2,Composer,"0,Jan,2015"
H,Cross-site Scripting (XSS),org.apache.velocity.tools:velocity-tools-view,"[,3.1)",Maven,"1,Mar,2021"
M,Cross-site Scripting (XSS),org.owasp.antisamy:antisamy,"[,1.5.7)",Maven,"2,Nov,2017"
M,Cross-site Scripting (XSS),typo3/cms,"&gt;&#x3D;6.2.0, &lt;6.2.19",Composer,"2,Feb,2016"
M,Cross-site Scripting (XSS),typo3/cms,"&gt;&#x3D;6.2.0, &lt;6.2.19,&gt;&#x3D;7.6.0, &lt;7.6.4",Composer,"2,Feb,2016"
